price_total,quantity,date_created.year,date_created.month,date_created.day,customer.name,country.region,country.country,product.category,product.name
"209,45",287,2013,4,27,Keedsler Motors,Europe,Netherlands,Sports,Snowboard glasses
14,63,2013,4,28,Western Gas & Electric,South America,Ecuador,Sports,Climbing boots
"49,5",446,2013,4,29,123 Warehousing,North America,United States of America,Sports,Trial Bike
189,218,2013,4,29,Industrial Automation,Europe,France,Sports,Mountain Bike
"49,95",244,2013,4,29,Smith and Co.,Europe,Spain,Books,Build your own bicycle
47,416,2013,4,30,LuthorCorp,Europe,Poland,Sports,Trial Bike
"209,45",392,2013,4,30,Omni Consimer Products,Europe,Germany,Sports,Mountain Bike
14,258,2013,4,30,"Demo, inc.",South America,Brazil,Sports,Termic Jacket 
"242,5",191,2013,5,1,Wentworth Industries,Europe,Ireland,Various,Various
"49,5",475,2013,5,1,Tessier-Ashpool,Europe,Portugal,Sports,Trial Bike
"242,1",4,2013,5,2,Transworld Consortium,North America,United States of America,Sports,Mountain Bike
68,204,2013,5,2,LuthorCorp,Europe,Hungary,Videos,Living on a windsurf table (2010)
20,93,2013,5,3,Minuteman Cafe,Europe,Spain,Videos,Best windsurf Videos of the year (2013)
"49,95",192,2013,5,4,ZiffCorp,North America,United States of America,Books,Bicycle Wheel
"45,2676",157,2013,5,4,LexCorp,South America,Brazil,Sports,Trial Bike
998,259,2013,5,5,Keedsler Motors,Europe,Netherlands,Sports,E-Bike
180,407,2013,5,5,Omni Consimer Products,Europe,Estonia,Sports,Mountain Bike
60,451,2013,5,5,Chasers,South America,Brazil,Videos,Extreme mountain bike sessions (2012)
240,223,2013,5,6,Powell Motors,Europe,Portugal,Sports,Mountain Bike
50,484,2013,5,7,Osato Chemicals,North America,United States of America,Various,Various
"45,3",412,2013,5,7,Foo Bars,South America,Brazil,Sports,Trial Bike
"39,96",223,2013,5,8,General Products,Europe,Spain,Sports,Mountain Bike
"120,75",267,2013,5,8,U.S. Robotics and Mechanical Men,South America,Brazil,Sports,Snowboard table
"49,95",157,2013,5,8,Mr. Sparkle,Europe,United Kingdom of Great Britain & Northern Ireland,Books,Bicycle Wheel
90,64,2013,5,9,ABC Telecom,South America,Guatemala,Sports,Tent for extreme weather
20,192,2013,5,9,Niagular,Europe,France,Videos,Best windsurf Videos of the year (2013)
60,217,2013,5,9,Gizmonic Institute,South America,Brazil,Videos,Extreme mountain bike sessions (2012)
"145,5",222,2013,5,10,Sto Plains Holdings,Europe,France,Sports,Tent for extreme weather
20,186,2013,5,11,The Krusty Krab,Europe,Hungary,Videos,Best windsurf Videos of the year (2013)
217,180,2013,5,11,"Acme, inc.",Europe,Spain,Sports,Mountain Bike
"45,27",438,2013,5,12,LuthorCorp,Europe,Hungary,Sports,Trial Bike
125,224,2013,5,13,Omni Consimer Products,Europe,Germany,Sports,Bicycle horn
125,61,2013,5,13,ABC Telecom,South America,Guatemala,Sports,Snowboard glasses
49,189,2013,5,14,Strickland Propane,South America,Brazil,Sports,Snowboard table
"190,05",472,2013,5,14,Wayne Enterprises,Europe,Spain,Sports,Tent for extreme weather
"92,233",136,2013,5,15,Allied Biscuit,North America,United States of America,Videos,"Climb higher, faster, better (2022)"
"120,75",346,2013,5,15,Mammoth Pictures,South America,Ecuador,Sports,Snowboard table
"45,75",258,2013,5,15,Keedsler Motors,Europe,Netherlands,Sports,Trial Bike
"49,95",272,2013,5,16,Demo Company,South America,Uruguay,Books,Bicycle Wheel
125,152,2013,5,17,Omni Consimer Products,Europe,Germany,Sports,Bicycle Gloves
20,115,2013,5,17,Big Kahuna Burger,Europe,United Kingdom of Great Britain & Northern Ireland,Videos,Best windsurf Videos of the year (2013)
"149,57",18,2013,5,18,LexCorp,South America,Brazil,Sports,Snowboard table
55,457,2013,5,18,General Products,Europe,Czech Republic,Sports,Snowboard boots
235,316,2013,5,18,"Acme, inc.",Europe,Lithuania,Sports,Mountain Bike
"80,01",497,2013,5,19,Wentworth Industries,Europe,Ireland,Sports,Termic Jacket 
49,186,2013,5,19,Powell Motors,Europe,Spain,Sports,Snowboard table
46,222,2013,5,20,LuthorCorp,Europe,Slovakia (Slovak Republic),Sports,Trial Bike
58,70,2013,5,20,LuthorCorp,Europe,Malta,Sports,Trial Bike
68,222,2013,5,20,LuthorCorp,Europe,Hungary,Videos,Living on a windsurf table (2010)
47,110,2013,5,21,Globo-Chem,North America,Canada,Sports,Mountain Bike
49,344,2013,5,22,Acme Corp,Europe,Netherlands,Sports,Snowboard table
199,440,2013,5,23,"Acme, inc.",Europe,Czech Republic,Sports,Mountain Bike
190,51,2013,5,24,Omni Consimer Products,Europe,Poland,Sports,Gravel Bike
130,498,2013,5,25,Tessier-Ashpool,Europe,Slovakia (Slovak Republic),Sports,Termic Jacket 
"120,75",241,2013,5,26,Mammoth Pictures,South America,Ecuador,Sports,Snowboard table
99,295,2013,5,26,General Products,Europe,Hungary,Sports,Snowboard boots
20,406,2013,5,27,Big T Burgers and Fries,Europe,Slovakia (Slovak Republic),Videos,Best windsurf Videos of the year (2013)
29,458,2013,5,27,Atlantic Northern,South America,Brazil,Sports,Trial Bike
"110,37",194,2013,5,27,ABC Telecom,South America,Guatemala,Sports,Snowboard boots
47,359,2013,5,28,LuthorCorp,Europe,Poland,Sports,Trial Bike
49,365,2013,5,28,Mooby Corp,South America,Ecuador,Sports,Snowboard table
"44,8709",162,2013,5,29,Virtucon,South America,Brazil,Sports,Trial Bike
"120,75",293,2013,5,30,Three Waters,South America,Ecuador,Sports,Snowboard table
20,83,2013,5,31,The Frying Dutchman,Europe,Spain,Videos,Best windsurf Videos of the year (2013)
345,107,2013,5,31,Colonial Movers,Europe,Monaco,Sports,Mountain Bike
48,498,2013,6,1,Tessier-Ashpool,Europe,Slovakia (Slovak Republic),Sports,Tent for extreme weather
"110,37",52,2013,6,1,"Demo, inc.",South America,Brazil,Sports,Snowboard boots
"49,95",321,2013,6,1,Mr. Sparkle,Europe,United Kingdom of Great Britain & Northern Ireland,Books,Bicycle Wheel
"171,25",332,2013,6,2,Smith and Co.,Europe,Spain,Sports,Tent for extreme weather
14,77,2013,6,2,"Demo, inc.",South America,Brazil,Sports,Termic Jacket 
20,92,2013,6,3,Monks Diner,Europe,Spain,Videos,Best windsurf Videos of the year (2013)
"39,96",234,2013,6,3,General Products,Europe,Spain,Sports,Mountain Bike
"44,08",235,2013,6,3,Fake Brothers,North America,United States of America,Sports,Trial Bike
"50,5325",147,2013,6,4,Allied Biscuit,North America,United States of America,Books,Bicycle Wheel
140,339,2013,6,4,Omni Consimer Products,Europe,Poland,Sports,Bicycle brakes
"49,95",399,2013,6,4,Keedsler Motors,Europe,Netherlands,Books,Build your own bicycle
"49,95",32,2013,6,5,Ankh-Sto Associates,Europe,Spain,Books,Build your own bicycle
47,62,2013,6,5,Mr. Sparkle,Europe,United Kingdom of Great Britain & Northern Ireland,Sports,Mountain Bike
56,115,2013,6,5,Allied Biscuit,Europe,Poland,Videos,"Climb higher, faster, better (2022)"
"168,38",430,2013,6,6,ABC Telecom,South America,Guatemala,Sports,Snowboard boots
"26,95",170,2013,6,7,Bluth Company,South America,Brazil,Videos,Communicate your skills (2009)
90,294,2013,6,8,ABC Telecom,South America,Guatemala,Sports,Tent for extreme weather
90,207,2013,6,9,ABC Telecom,South America,Guatemala,Sports,Tent for extreme weather
"155,8",201,2013,6,9,Thrift Bank,South America,Ecuador,Sports,Rafting Boat
"110,37",263,2013,6,10,"Demo, inc.",South America,Brazil,Sports,Snowboard boots
"45,83",393,2013,6,11,Extensive Enterprise,South America,Brazil,Sports,Trial Bike
190,214,2013,6,12,U.S. Robotics and Mechanical Men,South America,French Guyana,Sports,Mountain Bike
"114,18",321,2013,6,12,Smith and Co.,Europe,Spain,Sports,Snowboard boots
"45,27",210,2013,6,12,LuthorCorp,Europe,Hungary,Sports,Trial Bike
144,411,2013,6,13,Omni Consimer Products,Europe,Germany,Sports,Road bike
340,245,2013,6,13,Omni Consimer Products,Europe,Finland,Sports,Mountain Bike
"45,99",113,2013,6,14,Widget Corp,Europe,United Kingdom of Great Britain & Northern Ireland,Sports,Trial Bike
860,19,2013,6,14,Omni Consimer Products,Europe,Germany,Sports,Touring bike
"167,24",218,2013,6,14,ZiffCorp,North America,United States of America,Sports,Snowboard boots
55,83,2013,6,15,LuthorCorp,Europe,Italy,Sports,Trial Bike
"105,75",450,2013,6,16,Incom Corporation,Europe,Spain,Sports,Snowboard table
140,82,2013,6,16,ZiffCorp,North America,United States of America,Sports,Snowboard glasses
"115,8",375,2013,6,16,QWERTY Logistics,Europe,Portugal,Sports,Tent for extreme weather
"49,95",209,2013,6,17,Globo-Chem,North America,Canada,Books,Bicycle Wheel
"49,95",270,2013,6,17,Mr. Sparkle,Europe,United Kingdom of Great Britain & Northern Ireland,Books,Bicycle Wheel
250,159,2013,6,18,Ankh-Sto Associates,Europe,Latvia,Sports,Mountain Bike
"115,8",418,2013,6,18,QWERTY Logistics,Europe,Portugal,Sports,Tent for extreme weather
"162,71",9,2013,6,19,Transworld Consortium,North America,United States of America,Sports,Mountain Bike
140,301,2013,6,19,ZiffCorp,North America,United States of America,Sports,Snowboard glasses
14,387,2013,6,20,Virtucon,South America,Brazil,Sports,Termic Jacket 
"45,27",294,2013,6,20,LuthorCorp,Europe,Hungary,Sports,Trial Bike
"45,37",326,2013,6,20,Sombra Corporation,Europe,France,Sports,Trial Bike
20,345,2013,6,21,Chez Quis,South America,Brazil,Videos,Best windsurf Videos of the year (2013)
"44,8709",73,2013,6,22,Virtucon,South America,Brazil,Sports,Trial Bike
60,110,2013,6,22,Chasers,South America,Brazil,Videos,Extreme mountain bike sessions (2012)
217,154,2013,6,23,"Acme, inc.",Europe,Spain,Sports,Mountain Bike
144,211,2013,6,24,Omni Consimer Products,Europe,Germany,Sports,Road bike
"47,9592",192,2013,6,24,Demo Company,South America,Uruguay,Books,Build your own bicycle
"155,8",92,2013,6,25,Thrift Bank,South America,Ecuador,Sports,Rafting Boat
"80,01",132,2013,6,26,Wentworth Industries,Europe,Ireland,Sports,Termic Jacket 
"193,421",72,2013,6,26,Gringotts,South America,Ecuador,Sports,Climbing equipment
"44,03",172,2013,6,27,123 Warehousing,North America,United States of America,Sports,Trial Bike
"49,95",317,2013,6,27,Ankh-Sto Associates,Europe,Spain,Books,Build your own bicycle
125,62,2013,6,27,Omni Consimer Products,Europe,Germany,Sports,Bicycle brakes
"110,37",117,2013,6,28,"Demo, inc.",South America,Brazil,Sports,Snowboard boots
49,303,2013,6,28,Strickland Propane,South America,Brazil,Sports,Snowboard table
160,226,2013,6,28,Keedsler Motors,Europe,Netherlands,Sports,Snowboard boots
"236,5",188,2013,6,29,Industrial Automation,Europe,Spain,Sports,Mountain Bike
140,382,2013,6,30,Omni Consimer Products,Europe,Poland,Sports,Bicycle brakes
79,4,2013,6,30,Gizmonic Institute,South America,Chile,Videos,Extreme mountain bike sessions (2012)
49,109,2013,6,30,North Central Positronics,Europe,Spain,Sports,Tent for extreme weather
"41,32",115,2013,7,1,Wayne Enterprises,Europe,Spain,Various,Various
47,100,2013,7,2,Globo-Chem,North America,Canada,Sports,Mountain Bike
49,171,2013,7,3,Industrial Automation,Europe,Spain,Sports,Mountain Bike
10,222,2013,7,3,Moes Tavern,South America,Brazil,Sports,Snowboard boots
65,35,2013,7,4,Gizmonic Institute,South America,Peru,Videos,Extreme mountain bike sessions (2012)
"49,95",228,2013,7,5,Ankh-Sto Associates,Europe,Spain,Books,Build your own bicycle
47,338,2013,7,6,Mr. Sparkle,Europe,United Kingdom of Great Britain & Northern Ireland,Sports,Mountain Bike
250,102,2013,7,7,Ankh-Sto Associates,Europe,Latvia,Sports,Mountain Bike
89,233,2013,7,7,LuthorCorp,Europe,Greece,Sports,Trial Bike
"49,95",371,2013,7,8,Kumatsu Motors,South America,Brazil,Books,Build your own bicycle
"75,5",230,2013,7,8,123 Warehousing,North America,United States of America,Sports,Mountain Bike
71,378,2013,7,9,Extensive Enterprise,South America,Brazil,Sports,Mountain Bike
"92,233",344,2013,7,9,Allied Biscuit,North America,United States of America,Videos,"Climb higher, faster, better (2022)"
14,94,2013,7,9,Sirius Cybernetics Corporation,Europe,Spain,Sports,Mountain Bike
"49,95",112,2013,7,10,Galaxy Corp,Africa,South Africa,Books,Bicycle Wheel
55,28,2013,7,11,General Products,Europe,Czech Republic,Sports,Snowboard boots
"39,96",109,2013,7,12,General Products,Europe,Spain,Sports,Mountain Bike
"144,1",50,2013,7,13,U.S. Robotics and Mechanical Men,South America,Brazil,Sports,Mountain Bike
"26,95",57,2013,7,13,Bluth Company,South America,Brazil,Videos,Communicate your skills (2009)
14,494,2013,7,13,"Sample, inc",Europe,Switzerland,Sports,Termic Jacket 
"73,687",79,2013,7,14,Acme Corp,Europe,Netherlands,Sports,Snowboard table
"39,96",117,2013,7,14,General Products,Europe,Spain,Sports,Mountain Bike
"49,95",189,2013,7,15,Flowers By Irene,Europe,Denmark,Books,Bicycle Wheel
"105,75",51,2013,7,16,Incom Corporation,Europe,Spain,Sports,Snowboard table
"49,95",120,2013,7,17,Globex Corporation,Europe,Slovakia (Slovak Republic),Books,Bicycle Wheel
190,7,2013,7,17,U.S. Robotics and Mechanical Men,South America,French Guyana,Sports,Mountain Bike
"50,2403",22,2013,7,18,Corellian Engineering Corporation,Europe,Spain,Books,Build your own bicycle
14,227,2013,7,18,"Sample, inc",Europe,Switzerland,Sports,Termic Jacket 
140,165,2013,7,19,Omni Consimer Products,Europe,Poland,Sports,Bicycle horn
99,274,2013,7,20,LuthorCorp,Europe,Croatia,Sports,Trial Bike
55,475,2013,7,21,LuthorCorp,Europe,Lithuania,Sports,Trial Bike
125,128,2013,7,22,Omni Consimer Products,Europe,Germany,Sports,Bicycle Helmet
"155,4",175,2013,7,22,"Sample, inc",Europe,Switzerland,Sports,Snowboard table
125,297,2013,7,23,Omni Consimer Products,Europe,Germany,Sports,Bicycle Gloves
29,246,2013,7,23,Taggart Transcontinental,North America,United States of America,Sports,Trial Bike
"115,8",63,2013,7,23,QWERTY Logistics,Europe,Portugal,Sports,Tent for extreme weather
"155,51",213,2013,7,24,Colonial Movers,Europe,Spain,Sports,Mountain Bike
"167,24",313,2013,7,24,ZiffCorp,North America,United States of America,Sports,Snowboard boots
"160,77",193,2013,7,25,Galaxy Corp,Africa,South Africa,Sports,Snowboard table
190,492,2013,7,25,U.S. Robotics and Mechanical Men,South America,French Guyana,Sports,Mountain Bike
49,335,2013,7,25,Powell Motors,Europe,Spain,Sports,Snowboard table
22,142,2013,7,26,Strickland Propane,South America,Brazil,Videos,Best windsurf Videos of the year (2013)
125,123,2013,7,26,ABC Telecom,South America,Guatemala,Sports,Snowboard glasses
20,276,2013,7,26,Big T Burgers and Fries,Europe,Slovakia (Slovak Republic),Videos,Best windsurf Videos of the year (2013)
"160,77",417,2013,7,27,Galaxy Corp,Africa,South Africa,Sports,Snowboard table
"108,25",154,2013,7,27,Thatherton Fuels,South America,Ecuador,Videos,"Climb higher, faster, better (2010)"
"155,8",90,2013,7,27,Mooby Corp,South America,Ecuador,Sports,Rafting Boat
320,116,2013,7,28,Keedsler Motors,Europe,Netherlands,Sports,BMX Bike
20,151,2013,7,28,Big Kahuna Burger,Europe,United Kingdom of Great Britain & Northern Ireland,Videos,Best windsurf Videos of the year (2013)
47,64,2013,7,29,LuthorCorp,Europe,Poland,Sports,Trial Bike
"236,5",251,2013,7,29,Industrial Automation,Europe,Spain,Sports,Mountain Bike
150,450,2013,7,30,Transworld Consortium,North America,Canada,Sports,Mountain Bike
"155,8",294,2013,7,30,Gringotts,South America,Ecuador,Sports,Rafting Boat
20,106,2013,7,31,Big Kahuna Burger,Europe,United Kingdom of Great Britain & Northern Ireland,Videos,Best windsurf Videos of the year (2013)
"171,25",334,2013,8,1,Smith and Co.,Europe,Spain,Sports,Tent for extreme weather
47,12,2013,8,1,LuthorCorp,Europe,Poland,Sports,Trial Bike
240,90,2013,8,2,Powell Motors,Europe,Portugal,Sports,Mountain Bike
180,143,2013,8,2,Omni Consimer Products,Europe,Estonia,Sports,Mountain Bike
"155,8",485,2013,8,3,Water and Power,South America,Ecuador,Sports,Rafting Boat
"49,95",19,2013,8,3,Ankh-Sto Associates,Europe,Spain,Books,Build your own bicycle
"120,75",277,2013,8,3,Three Waters,South America,Ecuador,Sports,Snowboard table
"44,03",314,2013,8,4,123 Warehousing,North America,United States of America,Sports,Trial Bike
"49,95",336,2013,8,4,Globex Corporation,Europe,Slovakia (Slovak Republic),Books,Bicycle Wheel
20,305,2013,8,5,Minuteman Cafe,Europe,Spain,Videos,Best windsurf Videos of the year (2013)
88,274,2013,8,5,General Products,Europe,Austria,Sports,Snowboard boots
29,246,2013,8,5,Taggart Transcontinental,North America,United States of America,Sports,Trial Bike
"108,25",491,2013,8,6,Osato Chemicals,North America,United States of America,Videos,"Climb higher, faster, better (2010)"
"155,8",267,2013,8,7,Western Gas & Electric,South America,Ecuador,Sports,Rafting Boat
"171,25",296,2013,8,7,ZiffCorp,North America,United States of America,Sports,Mountain Bike
"155,8",71,2013,8,8,Water and Power,South America,Ecuador,Sports,Rafting Boat
"45,52",186,2013,8,8,Flowers By Irene,Europe,Denmark,Sports,Trial Bike
126,277,2013,8,9,Tessier-Ashpool,Europe,Portugal,Sports,Termic Jacket 
140,312,2013,8,9,Omni Consimer Products,Europe,Poland,Sports,Bicycle Helmet
"115,24",226,2013,8,10,Galaxy Corp,Africa,South Africa,Sports,Snowboard boots
125,497,2013,8,10,Omni Consimer Products,Europe,Slovakia (Slovak Republic),Sports,Bicycle Helmet
"261,9",369,2013,8,11,Flowers By Irene,Europe,Denmark,Sports,Snowboard table
70,461,2013,8,11,Colonial Movers,Europe,Spain,Sports,Snowboard boots
"49,95",30,2013,8,11,Kumatsu Motors,South America,Brazil,Books,Build your own bicycle
"120,75",58,2013,8,12,Mammoth Pictures,South America,Ecuador,Sports,Snowboard table
"209,45",288,2013,8,12,Keedsler Motors,Europe,Netherlands,Sports,Mountain Bike
20,29,2013,8,12,Taco Grande,Europe,France,Videos,Best windsurf Videos of the year (2013)
49,79,2013,8,13,United Fried Chicken,South America,Brazil,Sports,Tent for extreme weather
"49,95",403,2013,8,13,Incom Corporation,Europe,Spain,Books,Bicycle Wheel
"155,8",286,2013,8,13,Mooby Corp,South America,Ecuador,Sports,Rafting Boat
"167,24",247,2013,8,14,ZiffCorp,North America,United States of America,Sports,Snowboard boots
"101,58",92,2013,8,14,Kumatsu Motors,South America,Brazil,Sports,Snowboard boots
"146,5",188,2013,8,15,The Legitimate Businessmens Club,South America,Brazil,Sports,Snowboard table
88,44,2013,8,15,General Products,Europe,Austria,Sports,Snowboard boots
"45,27",310,2013,8,15,LuthorCorp,Europe,Hungary,Sports,Trial Bike
"108,25",496,2013,8,16,Thatherton Fuels,South America,Ecuador,Videos,"Climb higher, faster, better (2010)"
99,116,2013,8,17,General Products,Europe,Hungary,Sports,Snowboard boots
"44,08",431,2013,8,17,Fake Brothers,North America,United States of America,Sports,Trial Bike
190,86,2013,8,18,U.S. Robotics and Mechanical Men,South America,French Guyana,Sports,Mountain Bike
14,432,2013,8,19,Thatherton Fuels,South America,Ecuador,Sports,Termic Jacket 
49,264,2013,8,20,Foo Bars,South America,Brazil,Sports,Snowboard table
"190,05",316,2013,8,20,Wayne Enterprises,Europe,Spain,Sports,Tent for extreme weather
20,352,2013,8,21,Milliways,Europe,Germany,Videos,Best windsurf Videos of the year (2013)
"145,5",369,2013,8,22,Sto Plains Holdings,Europe,France,Sports,Tent for extreme weather
"197,29",450,2013,8,22,Ankh-Sto Associates,Europe,Spain,Sports,Mountain Bike
49,192,2013,8,22,Sample Company,Europe,Switzerland,Sports,Tent for extreme weather
55,444,2013,8,23,General Products,Europe,Czech Republic,Sports,Snowboard boots
"152,45",86,2013,8,24,Wayne Enterprises,Europe,Spain,Sports,Snowboard table
"47,9592",136,2013,8,25,Demo Company,South America,Uruguay,Books,Build your own bicycle
"152,45",403,2013,8,25,Wayne Enterprises,Europe,Spain,Sports,Snowboard table
195,29,2013,8,26,Wentworth Industries,Europe,Ireland,Sports,Mountain Bike
"45,83",41,2013,8,26,Extensive Enterprise,South America,Brazil,Sports,Trial Bike
50,78,2013,8,27,Osato Chemicals,North America,United States of America,Various,Various
,223,2013,8,28,,,,,
"105,75",316,2013,8,29,Incom Corporation,Europe,Spain,Sports,Snowboard table
125,379,2013,8,30,Omni Consimer Products,Europe,Germany,Sports,Bicycle Gloves
"209,45",73,2013,8,31,Keedsler Motors,Europe,Netherlands,Sports,Snowboard glasses
126,226,2013,9,1,Tessier-Ashpool,Europe,Portugal,Sports,Termic Jacket 
"167,24",109,2013,9,2,ZiffCorp,North America,United States of America,Sports,Snowboard boots
"49,95",444,2013,9,2,Gringotts,South America,Ecuador,Books,Build your own bicycle
99,83,2013,9,2,LuthorCorp,Europe,Croatia,Sports,Trial Bike
"49,5",82,2013,9,3,Tessier-Ashpool,Europe,Portugal,Sports,Trial Bike
333,448,2013,9,3,Ankh-Sto Associates,Europe,Sweden,Sports,Mountain Bike
47,304,2013,9,3,Mr. Sparkle,Europe,United Kingdom of Great Britain & Northern Ireland,Sports,Mountain Bike
"75,5",124,2013,9,4,123 Warehousing,North America,United States of America,Sports,Mountain Bike
240,17,2013,9,5,Powell Motors,Europe,Portugal,Sports,Mountain Bike
55,302,2013,9,6,LuthorCorp,Europe,Italy,Sports,Trial Bike
59,356,2013,9,7,Three Waters,South America,Ecuador,Sports,Mountain Bike
"49,95",312,2013,9,7,Demo Company,South America,Uruguay,Books,Bicycle Wheel
"75,5",170,2013,9,8,123 Warehousing,North America,United States of America,Sports,Mountain Bike
"44,0279",42,2013,9,8,Widget Corp,Europe,United Kingdom of Great Britain & Northern Ireland,Sports,Trial Bike
14,267,2013,9,9,Thatherton Fuels,South America,Ecuador,Sports,Termic Jacket 
"137,699",24,2013,9,9,Mooby Corp,South America,Ecuador,Sports,Climbing boots
"45,37",222,2013,9,10,Sombra Corporation,Europe,France,Sports,Trial Bike
"155,8",203,2013,9,10,Gringotts,South America,Ecuador,Sports,Rafting Boat
"241,5",290,2013,9,11,Demo Company,South America,Uruguay,Sports,Snowboard table
"45,75",340,2013,9,12,Keedsler Motors,Europe,Netherlands,Sports,Trial Bike
"115,8",386,2013,9,12,QWERTY Logistics,Europe,Portugal,Sports,Tent for extreme weather
195,465,2013,9,13,Wentworth Industries,Europe,Ireland,Sports,Mountain Bike
144,169,2013,9,13,Omni Consimer Products,Europe,Germany,Sports,Road bike
58,479,2013,9,14,LuthorCorp,Europe,Malta,Sports,Trial Bike
"115,8",192,2013,9,14,QWERTY Logistics,Europe,Portugal,Sports,Tent for extreme weather
"171,25",21,2013,9,15,ZiffCorp,North America,United States of America,Sports,Mountain Bike
36,428,2013,9,15,Thrift Bank,South America,Ecuador,Sports,Paddle Tennis Set
"137,699",123,2013,9,15,Mooby Corp,South America,Ecuador,Sports,Climbing boots
199,210,2013,9,16,"Acme, inc.",Europe,Czech Republic,Sports,Mountain Bike
"209,45",141,2013,9,17,Omni Consimer Products,Europe,Germany,Sports,Mountain Bike
195,94,2013,9,17,"Sample, inc",Europe,Switzerland,Sports,Mountain Bike
"49,95",94,2013,9,18,Ankh-Sto Associates,Europe,Spain,Books,Build your own bicycle
"155,8",76,2013,9,18,Gringotts,South America,Ecuador,Sports,Rafting Boat
"49,95",7,2013,9,19,Gringotts,South America,Ecuador,Books,Build your own bicycle
111,379,2013,9,19,Omni Consimer Products,Europe,Slovakia (Slovak Republic),Sports,Bicycle Gloves
"52,5",391,2013,9,19,"Acme, inc.",Europe,Spain,Sports,Snowboard boots
49,216,2013,9,20,Sample Company,Europe,Switzerland,Sports,Tent for extreme weather
"49,95",491,2013,9,20,Sample Company,Europe,Switzerland,Books,Bicycle Wheel
"140,1",314,2013,9,20,Acme Corp,Europe,Netherlands,Videos,"Climb higher, faster, better (2010)"
79,144,2013,9,21,Gizmonic Institute,South America,Chile,Videos,Extreme mountain bike sessions (2012)
49,56,2013,9,21,LuthorCorp,Europe,Slovenia,Sports,Trial Bike
14,374,2013,9,22,Colonial Movers,Europe,Spain,Sports,Mountain Bike
"49,95",421,2013,9,22,Galaxy Corp,Africa,South Africa,Books,Bicycle Wheel
"49,95",4,2013,9,22,Incom Corporation,Europe,Spain,Books,Bicycle Wheel
47,401,2013,9,23,Globo-Chem,North America,Canada,Sports,Mountain Bike
150,157,2013,9,23,Transworld Consortium,North America,Canada,Sports,Mountain Bike
"49,95",310,2013,9,23,General Products,Europe,Spain,Books,Bicycle Wheel
35,439,2013,9,24,Western Gas & Electric,South America,Ecuador,Sports,Ice axe
"80,01",288,2013,9,25,Wentworth Industries,Europe,Ireland,Sports,Termic Jacket 
189,9,2013,9,26,Industrial Automation,Europe,France,Sports,Mountain Bike
140,72,2013,9,26,Omni Consimer Products,Europe,Poland,Sports,Bicycle Gloves
"209,45",428,2013,9,27,Keedsler Motors,Europe,Netherlands,Sports,Snowboard glasses
340,130,2013,9,27,Omni Consimer Products,Europe,Finland,Sports,Mountain Bike
"155,51",163,2013,9,28,Colonial Movers,Europe,Spain,Sports,Mountain Bike
14,500,2013,9,28,Sto Plains Holdings,Europe,France,Sports,Termic Jacket 
"49,95",433,2013,9,28,General Products,Europe,Spain,Books,Bicycle Wheel
126,326,2013,9,29,Tessier-Ashpool,Europe,Portugal,Sports,Termic Jacket 
99,223,2013,9,29,LuthorCorp,Europe,Croatia,Sports,Trial Bike
"171,25",202,2013,9,30,Smith and Co.,Europe,Spain,Sports,Tent for extreme weather
35,51,2013,10,1,Western Gas & Electric,South America,Ecuador,Sports,Ice axe
"49,95",137,2013,10,1,United Fried Chicken,South America,Brazil,Books,Bicycle Wheel
"115,8",5,2013,10,1,QWERTY Logistics,Europe,Portugal,Sports,Tent for extreme weather
125,219,2013,10,2,Omni Consimer Products,Europe,Germany,Sports,Bicycle brakes
"49,5",490,2013,10,2,Fake Brothers,North America,United States of America,Sports,Trial Bike
"110,37",281,2013,10,3,"Demo, inc.",South America,Brazil,Sports,Snowboard boots
111,316,2013,10,4,Omni Consimer Products,Europe,Slovakia (Slovak Republic),Sports,Bicycle Gloves
"49,95",73,2013,10,4,Ankh-Sto Associates,Europe,Spain,Books,Build your own bicycle
"110,37",197,2013,10,5,ABC Telecom,South America,Guatemala,Sports,Snowboard boots
340,457,2013,10,6,Omni Consimer Products,Europe,Finland,Sports,Mountain Bike
"49,5",344,2013,10,7,123 Warehousing,North America,United States of America,Sports,Trial Bike
"168,38",470,2013,10,8,ABC Telecom,South America,Guatemala,Sports,Snowboard boots
111,206,2013,10,9,Omni Consimer Products,Europe,Slovakia (Slovak Republic),Sports,Bicycle Gloves
130,238,2013,10,10,ABC Telecom,South America,Guatemala,Sports,Snowboard glasses
"44,03",331,2013,10,11,123 Warehousing,North America,United States of America,Sports,Trial Bike
150,150,2013,10,11,Transworld Consortium,North America,Canada,Sports,Mountain Bike
"49,95",445,2013,10,12,Allied Biscuit,North America,United States of America,Books,Bicycle Wheel
99,422,2013,10,13,LuthorCorp,Europe,Croatia,Sports,Trial Bike
56,444,2013,10,13,Allied Biscuit,Europe,Poland,Videos,"Climb higher, faster, better (2022)"
"75,5",67,2013,10,13,123 Warehousing,North America,United States of America,Sports,Mountain Bike
"120,75",263,2013,10,14,Three Waters,South America,Ecuador,Sports,Snowboard table
75,221,2013,10,14,Gizmonic Institute,South America,Mexico,Videos,Extreme mountain bike sessions (2012)
860,302,2013,10,14,Omni Consimer Products,Europe,Germany,Sports,Touring bike
"144,1",294,2013,10,15,U.S. Robotics and Mechanical Men,South America,Brazil,Sports,Mountain Bike
"39,96",60,2013,10,16,General Products,Europe,Spain,Sports,Mountain Bike
